APPL_NO,FORM,STRDADDRESS,BLOCK,LOT,UNITS,NETUNITS,AFF_HSG,AFF_TARGET,CNG_TYPE,EXISTUSE,PROPUSE,ACTDATE,ZONING,PD_NO,SD_NO,LAT_LNG,ZIP_CODE
200402247019,3,2900 FULTON ST,1648,017,4,4,,,New,OFFICE,APARTMENTS,,NC-1,1,1,"[37.774001, -122.462894]",94118
201008319983,8,1000 MASON ST,0223,008,51,3,,,A,APARTMENTS,APARTMENTS,,RM-4,3,3,"[37.7930742, -122.4107104]",94108
200703277415,2,1011 TENNESSEE ST,4108,003G,3,3,,,N,,APARTMENTS,,UMU,9,10,"[37.75911000000001, -122.38905]",94107
200703095864,2,2603 HYDE ST,0026,006,3,3,,,N,,APARTMENTS,,RH-3,3,2,"[37.8049684, -122.4204446]",94109
200902232592,2,259 DORLAND ST,3580,035,3,3,,,N,,APARTMENTS,,RM-1,7,8,"[37.7619914, -122.4297325]",94114
200508220869,2,3448 BALBOA ST,1578,014F,3,3,,,N,,APARTMENTS,,NC-2,1,1,"[37.7757905, -122.4959684]",94121
201107119914,8,261 DORLAND ST,3580,035,3,3,,,A,,APARTMENTS,,RM-1,7,8,"[37.7619661, -122.4297655]",94114
200603156751,3,590 CASTRO ST,2695,016,4,2,,,CH,2 FAMILY DWELLING,APARTMENTS,,CASTRO,7,8,"[37.75942879999999, -122.4349841]",94114
201101067940,8,700 VERMONT ST,4075,001,3,2,,,A,1 FAMILY DWELLING,APARTMENTS,,RH-2,9,10,"[37.7606963, -122.4044042]",94107
200907243426,3,1844 TURK ST,1129,011A,3,2,,,A,1 FAMILY DWELLING,APARTMENTS,,RM-3,5,5,"[37.779832, -122.439589]",94115
201012297565,3,1729 STOCKTON ST,0089,007,3,2,,,A,APARTMENTS,APARTMENTS,,NO BEACH,3,3,"[37.801766, -122.409765]",94133
200812017531,2,1530 YORK ST,5514,004,2,2,,,N,,2 FAMILY DWELLING,,RH-2,11,9,"[37.747741, -122.407764]",94110
200201096579,2,3207 SAN BRUNO AV,5473,017,2,2,,,N,,2 FAMILY DWELLING,,RM-1,12,10,"[37.7215155, -122.400957]",94134
200201096589,2,3217 SAN BRUNO AV,5473,018,2,2,,,N,,2 FAMILY DWELLING,,RM-1,12,10,"[37.72141920000001, -122.400873]",94134
200201096581,2,3229 SAN BRUNO AV,5473,019,2,2,,,N,,2 FAMILY DWELLING,,RM-1,12,10,"[37.7212626, -122.4007323]",94134
200201096587,2,3237 SAN BRUNO AV,5473,020,2,2,,,N,,2 FAMILY DWELLING,,RM-1,12,10,"[37.7211702, -122.400736]",94134
200705010117,2,1030 MISSISSIPPI ST,4224,017,2,2,,,N,,2 FAMILY DWELLING,,RH-3,9,10,"[37.7533469, -122.393949]",94107
200910280084,2,580 DIAMOND ST,2772,016,2,2,,,N,,2 FAMILY DWELLING,,RH-2,7,8,"[37.753093, -122.43683]",94114
200707187166,2,324 CORTLAND AV,5677,022,2,2,,,N,,2 FAMILY DWELLING,,NC-2,12,9,"[37.7390297, -122.4180064]",94110
200804180093,2,317 CORTLAND AV,5667,015,2,2,,,N,,2 FAMILY DWELLING,,NC-2,11,9,"[37.739372, -122.4180937]",94110
200805162250,2,457 BUENA VISTA EAST AV,2607,270,2,2,,,N,,2 FAMILY DWELLING,,RH-3,6,8,"[37.7658111, -122.4418962]",94117
200512200776,2,519 33RD AV,1511,002,2,2,,,N,,2 FAMILY DWELLING,,RH-2,1,1,"[37.779209, -122.493602]",94121
200310097072,2,1200 19TH ST,4038,009,2,2,,,N,,2 FAMILY DWELLING,,RH-2,9,10,"[37.761634, -122.394673]",94107
201001194971,3,340 KEARNY ST,0269,008,2,2,,,CH,RETAIL SALES,2 FAMILY DWELLING,,C-3-O,4,3,"[37.7913393, -122.4039507]",94108
200912283901,3,134 CLEMENT ST,1431,022,2,2,,,CH,OFFICE,2 FAMILY DWELLING,,INNER CLEMENT,1,1,"[37.7832961, -122.4608327]",94118
200806053752,6,412 NOE ST,3582,089,-2,-2,,,D,2 FAMILY DWELLING,,,RH-3,7,8,"[37.7623204, -122.4330771]",94114
201103091771,8,3669 18TH ST,3587,049,5,1,,,A,APARTMENTS,APARTMENTS,,RM-2,8,8,"[37.7613023, -122.4253368]",94110
200810204565,3,3665 18TH ST,3587,049,5,1,,,L,APARTMENTS,APARTMENTS,,RM-2,8,8,"[37.7613864, -122.4253505]",94110
200706113545,2,155 TERRACE DR,3076,050,1,1,,,N,,1 FAMILY DWELLING,,RH-1(D),13,7,"[37.736658, -122.463727]",94127
200504049074,2,791 SAN BRUNO AV,4075,017,1,1,,,N,,1 FAMILY DWELLING,,RH-2,9,10,"[37.759645, -122.404673]",94107
200812108239,2,219 PRENTISS ST,5654,021,1,1,,,N,,1 FAMILY DWELLING,,RH-1,11,9,"[37.7398646, -122.4119729]",94110
201006235114,2,424 OCTAVIA ST,0817,033,1,1,,,N,,FOOD/BEVERAGE HNDLNG,,HAYES NCT,5,5,"[37.7761054, -122.4241271]",94102
200905228971,2,192 NEY ST,5891,001,1,1,,,N,,1 FAMILY DWELLING,,RH-1,12,11,"[37.7299511, -122.4262133]",94112
200809091088,2,347 MULLEN AV,5534,038,1,1,,,N,,1 FAMILY DWELLING,,RH-1,11,9,"[37.746124, -122.4058722]",94110
200601242864,2,239 MINERVA ST,7092,070,1,1,,,N,,1 FAMILY DWELLING,,RH-1,13,11,"[37.715496, -122.460277]",94112
200608250538,2,1506 INNES AV,5259,033,1,1,,,N,,1 FAMILY DWELLING,,RH-1,10,10,"[37.7385999, -122.387081]",94124
,2,3407 FOLSOM ST,5549,041,1,1,,,N,,1 FAMILY DWELLING,,RH-2,11,9,"[37.743969, -122.412963]",94110
200706123741,2,1209 FILBERT ST,0096,061,1,1,,,N,,1 FAMILY DWELLING,,RH-3,3,2,"[37.799888, -122.419627]",94109
200608149384,2,1636 DIAMOND ST,7520,006,1,1,,,N,,1 FAMILY DWELLING,,RH-1,7,8,"[37.744191, -122.435862]",94131
200702073645,2,102 CONRAD ST,7553,039,1,1,,,N,,1 FAMILY DWELLING,,RH-1,7,8,"[37.7369922, -122.436557]",94131
200901230736,2,47 CLARENDON AV,2706,048,1,1,,,N,,1 FAMILY DWELLING,,RH-1(D),14,7,"[37.75865, -122.449835]",94114
200807106432,2,27 CARVER ST,5632,016,1,1,,,N,,1 FAMILY DWELLING,,RH-1,11,9,"[37.742846, -122.409793]",94110
200802084340,2,1432 23RD AV,1831,57,1,1,,,N,,1 FAMILY DWELLING,05/27/2011 12:00:00 AM,RH-1,15,4,"[37.760832, -122.480939]",94122
201010263775,8,2627 LOMBARD ST,0939,036,1,1,,,CH,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-2,2,2,"[37.7986344, -122.4447583]",94123
200612049108,3,3540 RIVERA ST,2172,046,1,1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,15,4,"[37.7457234, -122.5044465]",94116
200803187436,3,428 CAPP ST,3595,035,1,1,,,New,1 FAMILY DWELLING,1 FAMILY DWELLING,,RTO-Mission,8,9,"[37.75978, -122.418383]",94110
201010153132,8,3400 LAGUNA ST,0471,003,170,-1,,,M,APARTMENTS,APARTMENTS,,RM-1,2,2,"[37.802903, -122.431016]",94123
201008319975,3,301 FOLSOM ST,3747,026,59,-1,,,AC,APARTMENTS,APARTMENTS,,RH DTR,9,6,"[37.7882661, -122.3926966]",94105
200904035560,3,285 TURK ST,0344,006B,40,-1,,,L,APARTMENTS,APARTMENTS,,RC-4,4,6,"[37.7827103, -122.4138065]",94102
201105206434,8,4205 24TH ST,6505,001,5,-1,,,M,APARTMENTS,APARTMENTS,,24TH-NOE,7,8,"[37.751028, -122.4365452]",94114
200802124649,3,3943 17TH ST,3582,078,4,-1,,,M,APARTMENTS,APARTMENTS,,RH-3,7,8,"[37.76235399999999, -122.433885]",94114
201102160401,8,3947 17TH ST,3582,078,4,-1,,,M,APARTMENTS,APARTMENTS,,RH-3,7,8,"[37.7624568, -122.4339621]",94114
201004029560,3,1027 HAYES ST,0823,014,3,-1,,,M,APARTMENTS,APARTMENTS,,RH-3,5,5,"[37.775276, -122.433327]",94117
201007086197,3,2248 WASHINGTON ST,0603,004B,2,-1,,,L,2 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,2,2,"[37.79237699999999, -122.430345]",94115
200907102340,8,380 PARK ST,5721,068,2,-1,,,L,2 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,11,9,"[37.736127, -122.417294]",94110
201007166845,3,2205 PACIFIC AV,0589,026,2,-1,,,L,APARTMENTS,2 FAMILY DWELLING,,RH-2,2,2,"[37.793405, -122.431783]",94115
201012307647,8,37 NORTON ST,3206,028,2,-1,,,L,2 FAMILY DWELLING,2 FAMILY DWELLING,,RH-1,12,11,"[37.7249208, -122.4355929]",94112
201102029489,8,2702 DIAMOND ST,6740,024,2,-1,,,L,2 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,7,8,"[37.7359808, -122.4344916]",94131
201101128251,8,418 BOSWORTH ST,6747,027,2,-1,,,L,2 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,12,9,"[37.7333504, -122.4309369]",94112
201003128102,8,529 23RD AV,1566,007,2,-1,,,L,2 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,1,1,"[37.7776688, -122.4824647]",94121
200909308013,3,436 SCOTT ST,0825,016,1,-1,,,M,2 FAMILY DWELLING,1 FAMILY DWELLING,,RH-3,5,5,"[37.7738874, -122.4356022]",94117
201104043454,3,30 PIEDMONT ST,1270,014,1,-1,,,M,2 FAMILY DWELLING,1 FAMILY DWELLING,,RH-2,6,8,"[37.7657691, -122.4447758]",94117
201006013612,8,3982 ALEMANY BL,7130,025,1,-1,,,M,2 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,13,7,"[37.7110383, -122.4688496]",94132
200805071525,3,742 42ND AV,1603,037,1,-1,,,M,2 FAMILY DWELLING,1 FAMILY DWELLING,,RH-2,1,1,"[37.774654, -122.502278]",94121
200908144848,8,3947 26TH ST,6565,039,1,-1,,,M,2 FAMILY DWELLING,1 FAMILY DWELLING,,RH-2,7,8,"[37.748188, -122.428209]",94131
200911252140,3,389 UPPER TR,2629A,025,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-3,6,8,"[37.76323379999999, -122.4460903]",94117
201010122693,8,235 TOCOLOMA AV,5072,040,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,10,10,"[37.712275, -122.397587]",94134
200910138815,8,71 TEDDY AV,6236,038,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,12,10,"[37.713373, -122.403832]",94134
201108021530,8,487 SUNRISE WY,6374,024,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,12,10,"[37.709849, -122.417335]",94134
201011044373,8,601 SILVER AV,5896,008,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,12,11,"[37.728972, -122.423779]",94134
201105206444,8,669 SHRADER ST,1249,021,1,-1,,,L,2 FAMILY DWELLING,1 FAMILY DWELLING,,RH-3,6,5,"[37.7687661, -122.4519168]",94117
201101258990,8,51 SEVILLE ST,6443,032,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,12,11,"[37.711735, -122.434613]",94112
201008168870,8,154 SEARS ST,7145,042,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,12,11,"[37.709182, -122.454937]",94112
201011024173,8,77 SALA TR,7044C,002,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,12,11,"[37.714313, -122.446065]",94112
201009281777,8,180 PEABODY ST,6305,016,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,12,10,"[37.709983, -122.407873]",94134
201010213545,8,2539 ORTEGA ST,2102,035,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,15,4,"[37.751516, -122.490964]",94122
201104214511,8,825 OCEAN AV,6947,001B,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-2,13,11,"[37.722699, -122.450263]",94112
201110257536,8,64 MONETA WY,7096B,004,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,12,11,"[37.713146, -122.44976]",94112
201104113804,8,48 MAJESTIC AV,7049,011,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,13,11,"[37.717839, -122.451511]",94112
201104043393,8,714 MADRID ST,6343,004,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,12,11,"[37.718351, -122.435617]",94112
201004029574,8,1067 INGERSON AV,4969,036,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,10,10,"[37.719605, -122.394428]",94124
201103071558,8,61 INA CT,6003,011,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,12,11,"[37.723149, -122.424846]",94112
201006073953,8,1855 GENEVA AV,6327,016,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,12,10,"[37.709694, -122.423506]",94134
201106248862,8,179 CRESTMONT DR,2675,046,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1(D),14,7,"[37.755503, -122.45966]",94131
200907213093,8,275 CHATTANOOGA ST,3649,018,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-2,7,8,"[37.7521864, -122.4263622]",94114
201006073939,8,72 BROAD ST,7108,023,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-2,13,11,"[37.71347799999999, -122.455308]",94112
201011175159,8,56 BITTING AV,5428C,011,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,M-1,10,10,"[37.7270523, -122.398341]",94124
201011295715,8,2242 46TH AV,2304,011,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,15,4,"[37.744692, -122.504497]",94116
201007297742,8,1574 45TH AV,1890,022,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,15,4,"[37.757238, -122.5043]",94122
201102049715,8,1642 44TH AV,1900,034,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,15,4,"[37.7559759, -122.503136]",94122
201102049671,8,2778 40TH AV,2508,019A,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,15,4,"[37.7350319, -122.497369]",94116
201106137937,8,1355 37TH AV,1792,004,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,15,4,"[37.761662, -122.496669]",94122
201006255307,8,1491 19TH AV,1834,013,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-2,15,4,"[37.760036, -122.477167]",94122
200902232589,3,263 DORLAND ST,3580,035,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RM-1,7,8,"[37.7619643, -122.4297694]",94114
201005102109,8,1226 10TH AV,1741,040,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-2,14,5,"[37.765319, -122.467147]",94122
201001134660,3,3131 MISSION ST,5501,048,1,-1,,,CC,2 FAMILY DWELLING,CLINICS-MEDIC/DENTAL,,NC-3,11,9,"[37.7471834, -122.4187076]",94110
201006023623,6,1207 THOMAS AV,4807,026,-1,-1,,,D,1 FAMILY DWELLING,,,PDR-2,10,10,"[37.7261837, -122.3841503]",94124
200504049078,6,791 SAN BRUNO AV,4075,017,-1,-1,,,D,1 FAMILY DWELLING,,,RH-2,9,10,"[37.759645, -122.404673]",94107
200710185819,6,636 PLYMOUTH AV,7067,014,-1,-1,,,D,1 FAMILY DWELLING,,,RH-1,13,11,"[37.716379, -122.4560764]",94112
200711289152,6,248 OCEAN AV,3211,009,-1,-1,,,D,1 FAMILY DWELLING,,,NC-1,12,11,"[37.723444, -122.442083]",94112
200601242859,6,239 MINERVA ST,7092,070,-1,-1,,,D,1 FAMILY DWELLING,,,RH-1,13,11,"[37.715496, -122.460277]",94112
201005202877,6,1269 LOMBARD ST,0501,023,-1,-1,,,D,1 FAMILY DWELLING,,,RH-2,3,2,"[37.801354, -122.422357]",94109
200907203022,6,40 EDGEHILL WY,2923,008,-1,-1,,,D,1 FAMILY DWELLING,,,RH-1(D),14,7,"[37.7429387, -122.4610481]",94127
200910280081,6,580 DIAMOND ST,2772,016,-1,-1,,,D,1 FAMILY DWELLING,,,RH-2,7,8,"[37.753093, -122.43683]",94114
201007136495,6,448 DIAMOND ST,2768,008,-1,-1,,,D,1 FAMILY DWELLING,,,RH-2,7,8,"[37.755172, -122.437027]",94114
201109154672,6,906 CORTLAND AV,5683,012,-1,-1,,,D,1 FAMILY DWELLING,,,NC-2,11,9,"[37.73877299999999, -122.413614]",94110
201012287512,6,4209 24TH ST,6505,047,-1,-1,,,D,1 FAMILY DWELLING,,,RH-2,7,8,"[37.7508989, -122.436724]",94114
200506296360,6,1919 22ND ST,4160,001,-1,-1,,,D,1 FAMILY DWELLING,,,RH-3,9,10,"[37.757098, -122.400204]",94107
201105105715,8,3400 LAGUNA ST,0471,003,168,-2,,,M,APARTMENTS,APARTMENTS,,RM-1,2,2,"[37.802903, -122.431016]",94123
201107150336,8,60 THERESA ST,6799,014,1,-2,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,12,11,"[37.728407, -122.4335995]",94112
201104184265,3,2509 BUSH ST,1051,032,0,-2,,,CC,2 FAMILY DWELLING,DAY CARE HOME GT 12,,NC-3,5,5,"[37.7860642, -122.4389725]",94115
200710165567,6,1250 LEAVENWORTH ST,0220,027,-2,-2,,,D,2 FAMILY DWELLING,,,RM-3,3,3,"[37.7927874, -122.4158296]",94109
9605515,6,1575 20TH AV,1866,015,-2,-2,,,D,2 FAMILY DWELLING,,,RH-2,15,4,"[37.75839, -122.478168]",94122
200901301159,8,2250 JACKSON ST,589,008,2,-3,,,M,APARTMENTS,2 FAMILY DWELLING,,RH-2,2,2,"[37.79303400000001, -122.432161]",94115
200912233742,3,35 WOODWARD ST,3532,064,52,-7,,,U,APARTMENTS,APARTMENTS,,RM-1,8,6,"[37.76934, -122.420692]",94103
201011305796,6,80 JULIAN AV,3547,027,-14,-14,,,D,APARTMENTS,,,Valencia St NCT,8,6,"[37.7669948, -122.4213828]",94103
201010263766,6,1169 MARKET ST,3702,051,310,-52,,,D,APARTMENTS,APARTMENTS,,C-3-G,4,6,"[37.7786339, -122.4138879]",94103
201110136719,8,36 ADAIR ST,3553,040,3,1,SEC,SEC,A,APARTMENTS,APARTMENTS,,RTO-Mission,8,6,"[37.765861, -122.418243]",94103
200910018065,3,926 SHOTWELL ST,3641,075,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,8,9,"[37.7531139, -122.415545]",94110
201006154519,3,84 RICHLAND AV,6692,065,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,11,9,"[37.735765, -122.425085]",94110
201101279167,3,1450 SANCHEZ ST,6602,001,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,7,8,"[37.7457727, -122.4292698]",94131
200903123981,2,1118 BURROWS ST,5972,044,1,1,SEC,SEC,N,,1 FAMILY DWELLING,,RH-1,12,9,"[37.726522, -122.4145461]",94134
200712069782,3,421 MORAGA ST,2039,045,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,14,7,"[37.756271, -122.467293]",94122
201004019462,8,423 MORAGA ST,2039,045,2,1,SEC,SEC,A,2 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,14,7,"[37.7563798, -122.4673158]",94122
200807096279,3,1646 MCKINNON AV,5296,007,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,10,10,"[37.7367789, -122.3906352]",94124
200901140220,3,425 BRYANT ST,3775,095,1,1,SEC,SEC,CH,WORKSHOP COMMERCIAL,1 FAMILY DWELLING,,MUO,9,6,"[37.782465, -122.394011]",94107
200803106722,3,1016 LOMBARD ST,0068,008,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-3,3,2,"[37.8023622, -122.418501]",94109
201106107917,8,162 LANDERS ST,3557,024,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RTO,7,8,"[37.76517560000001, -122.4279147]",94114
200601303332,3,542 KANSAS ST,4010,001O,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-3,9,10,"[37.762825, -122.403668]",94107
201104123959,3,1947 GOLDEN GATE AV,1158,034,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-3,5,5,"[37.777923, -122.442609]",94115
201006033737,3,290 FARALLONES ST,7105,015,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,NC-1,13,11,"[37.7142829, -122.4624729]",94112
200903124021,3,467 DUBOCE AV,3537,093,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RTO,6,8,"[37.7691852, -122.430613]",94117
201012277423,8,1220 45TH AV,1706,041,2,1,SEC,SEC,A,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-2,15,4,"[37.763795, -122.504761]",94122
201003117984,3,1562 DOLORES ST,6618,004,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,7,8,"[37.744282, -122.42481]",94110
200811106167,3,5 CYRUS PL,0155,052,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-3,3,3,"[37.7961153, -122.4173109]",94109
200809080981,3,485 CORBETT AV,2712,003,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,7,8,"[37.75799, -122.444855]",94114
200907233321,8,1803 CASTRO ST,6581,030,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,7,8,"[37.747113, -122.433405]",94131
200806174638,3,75 LILY ST,0837,009,5,1,SEC,SEC,CH,APARTMENTS,APARTMENTS,,NCT-3,6,6,"[37.77447799999999, -122.422036]",94102
201006033776,3,591 NAPLES ST,6090,015A,2,1,SEC,SEC,CH,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,12,11,"[37.719341, -122.43201]",94112
200705161448,3,769 TREAT AV,3612,062,3,1,SEC,SEC,A,2 FAMILY DWELLING,APARTMENTS,,RH-3,8,9,"[37.7579269, -122.4133188]",94110
200809262732,3,464 HICKORY ST,0830,022A,2,1,SEC,SEC,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RTO,5,5,"[37.7750652, -122.4270657]",94102
200606133867,3,676 16TH AV,1629,022,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,1,1,"[37.775362, -122.474354]",94118
201102099895,3,2949 PACIFIC AV,0976,024,4,1,1,SEC,L,APARTMENTS,APARTMENTS,,RM-2,2,2,"[37.791914, -122.443867]",94115
200604038097,3,3043 CLAY ST,1005,025,3,1,SEC,SEC,A,2 FAMILY DWELLING,APARTMENTS,,RH-3,2,2,"[37.789301, -122.443154]",94115
201003188461,3,638 08TH AV,1637,028,2,1,SEC,SEC,L,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,1,1,"[37.7749295, -122.4194155]",
201009221404,3,3162 TURK BL,1141,016,2,1,SEC,SEC,L,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,1,1,"[37.777549, -122.457953]",94118
201101279152,8,557 15TH AV,1558,013B,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,1,1,"[37.777534, -122.474094]",94118
200902262930,3,167 16TH AV,1376,014,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,1,1,"[37.784928, -122.475744]",94118
200709284059,3,633 27TH AV,1570,003A,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,1,1,"[37.777375, -122.487014]",94121
201006225027,3,720 YORK ST,4080,021,36,1,SEC,SEC,CH,OFFICE,ARTIST LIVE/WORK,,UMU,8,6,"[37.7596261, -122.4091927]",94110
200808149207,3,665 25TH AV,1568,008B,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,1,1,"[37.776959, -122.484838]",94121
200605222180,3,762 27TH AV,1618,007,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,1,1,"[37.77502399999999, -122.486188]",94121
200907031975,8,1624 BAY ST,0460A,007,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RM-3,2,2,"[37.803315, -122.433895]",94123
200807187057,3,3436 ANZA ST,1519,022B,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RM-1,1,1,"[37.77841799999999, -122.485272]",94121
200612119580,3,2400 BALBOA ST,1568,011D,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,1,1,"[37.7764111, -122.4846595]",94121
